7 1001 54515.654   7.586 0.014 271 ANAur
8 1001 54515.654   7.358 0.034 271 ANAur
6 1001 54515.811   8.082 0.015 271 ANAur
7 1001 54515.811   7.542 0.014 271 ANAur
8 1001 54515.811   7.305 0.033 271 ANAur
6 1001 54516.607   8.074 0.015 271 ANAur
7 1001 54516.607   7.582 0.014 271 ANAur
8 1001 54516.607   7.402 0.034 271 ANAur
6 1001 54520.816   7.816 0.015 271 ANAur
7 1001 54520.816   7.358 0.014 271 ANAur
8 1001 54520.816   7.195 0.031 271 ANAur
6 1001 54726.981   7.822 0.015 271 ANAur
7 1001 54726.981   7.338 0.014 271 ANAur
8 1001 54726.981   7.197 0.031 271 ANAur
6 1001 54734.915   7.887 0.015 271 ANAur
7 1001 54734.915   7.444 0.014 271 ANAur
8 1001 54734.915   7.299 0.033 271 ANAur
6 1001 54735.923   7.836 0.015 271 ANAur
7 1001 54735.923   7.366 0.014 271 ANAur
8 1001 54735.923   7.226 0.031 271 ANAur
6 1001 54737.827   7.863 0.015 271 ANAur
7 1001 54737.827   7.362 0.014 271 ANAur
8 1001 54737.827   7.204 0.031 271 ANAur
6 1001 54738.907   7.860 0.015 271 ANAur
7 1001 54738.907   7.336 0.014 271 ANAur
8 1001 54738.907   7.195 0.031 271 ANAur
6 1001 54740.886   8.004 0.015 271 ANAur
7 1001 54740.886   7.446 0.014 271 ANAur
8 1001 54740.886   7.311 0.033 271 ANAur
6 1001 54748.886   7.865 0.015 271 ANAur
7 1001 54748.886   7.350 0.014 271 ANAur
8 1001 54748.886   7.209 0.031 271 ANAur
6 1001 54753.773   8.019 0.015 271 ANAur
7 1001 54753.773   7.547 0.014 271 ANAur
8 1001 54753.773   7.402 0.034 271 ANAur
6 1001 54754.834   7.905 0.015 271 ANAur
7 1001 54754.834   7.478 0.014 271 ANAur
8 1001 54754.834   7.300 0.033 271 ANAur
6 1001 54755.827   7.887 0.015 271 ANAur
7 1001 54755.827   7.425 0.014 271 ANAur
8 1001 54755.827   7.307 0.033 271 ANAur
6 1001 54758.918   7.889 0.015 271 ANAur
7 1001 54758.918   7.343 0.014 271 ANAur
8 1001 54758.918   7.217 0.031 271 ANAur
6 1001 54761.004   7.946 0.015 271 ANAur
7 1001 54761.004   7.401 0.014 271 ANAur
8 1001 54761.004   7.262 0.032 271 ANAur
6 1001 54487.916   8.512 0.016 272 AOAur
7 1001 54487.916   8.136 0.015 272 AOAur
8 1001 54487.916   7.992 0.019 272 AOAur
6 1001 54488.674   8.530 0.016 272 AOAur
7 1001 54488.674   8.112 0.015 272 AOAur
8 1001 54488.674   7.966 0.018 272 AOAur
6 1001 54489.704   8.590 0.016 272 AOAur
7 1001 54489.704   8.117 0.015 272 AOAur
8 1001 54489.704   7.945 0.018 272 AOAur
6 1001 54490.713   8.609 0.016 272 AOAur
7 1001 54490.713   8.141 0.015 272 AOAur
8 1001 54490.713   7.960 0.018 272 AOAur
6 1001 54492.675   8.865 0.016 272 AOAur
7 1001 54492.675   8.352 0.015 272 AOAur
8 1001 54492.675   8.181 0.019 272 AOAur
6 1001 54520.802   8.746 0.016 272 AOAur
7 1001 54520.802   8.324 0.015 272 AOAur
8 1001 54520.802   8.178 0.019 272 AOAur
6 1001 54724.967   8.504 0.016 272 AOAur
7 1001 54724.967   8.125 0.015 272 AOAur
8 1001 54724.967   7.986 0.019 272 AOAur
6 1001 54726.967   8.559 0.016 272 AOAur
7 1001 54726.967   8.088 0.015 272 AOAur
8 1001 54726.967   7.985 0.019 272 AOAur
6 1001 54734.947   8.708 0.016 272 AOAur
7 1001 54734.947   8.198 0.015 272 AOAur
8 1001 54734.947   8.096 0.019 272 AOAur
6 1001 54735.939   8.819 0.016 272 AOAur
7 1001 54735.939   8.288 0.015 272 AOAur
8 1001 54735.939   8.161 0.019 272 AOAur
6 1001 54737.854   8.506 0.016 272 AOAur
7 1001 54737.854   8.161 0.015 272 AOAur
8 1001 54737.854   8.110 0.019 272 AOAur
6 1001 54746.917   8.559 0.016 272 AOAur
7 1001 54746.917   8.098 0.015 272 AOAur
8 1001 54746.917   7.985 0.019 272 AOAur
6 1001 54747.928   8.630 0.016 272 AOAur
7 1001 54747.928   8.126 0.015 272 AOAur
8 1001 54747.928   8.036 0.019 272 AOAur
6 1001 54748.908   8.744 0.016 272 AOAur
7 1001 54748.908   8.214 0.015 272 AOAur
8 1001 54748.908   8.090 0.019 272 AOAur
6 1001 54755.864   8.754 0.016 272 AOAur
7 1001 54755.864   8.235 0.015 272 AOAur
8 1001 54755.864   8.154 0.019 272 AOAur
6 1001 54756.942   8.855 0.016 272 AOAur
7 1001 54756.942   8.371 0.015 272 AOAur
8 1001 54756.942   8.226 0.019 272 AOAur
6 1001 54757.874   8.557 0.016 272 AOAur
7 1001 54757.874   8.193 0.015 272 AOAur
8 1001 54757.874   8.094 0.019 272 AOAur
6 1001 54758.972   8.493 0.016 272 AOAur
7 1001 54758.972   8.095 0.015 272 AOAur
8 1001 54758.972   8.005 0.019 272 AOAur
6 1001 54760.989   8.570 0.016 272 AOAur
7 1001 54760.989   8.116 0.015 272 AOAur
8 1001 54760.989   7.986 0.019 272 AOAur
6 1001 54762.796   8.777 0.016 272 AOAur
7 1001 54762.796   8.279 0.015 272 AOAur
8 1001 54762.796   8.152 0.019 272 AOAur
6 1001 54766.014   8.507 0.016 272 AOAur
7 1001 54766.014   8.098 0.015 272 AOAur
8 1001 54766.014   8.023 0.019 272 AOAur
6 1001 54480.768   6.928 0.014 279 ASPer
7 1001 54480.768   6.420 0.013 279 ASPer
8 1001 54480.768   6.262 0.017 279 ASPer
6 1001 54488.548   6.846 0.014 279 ASPer
7 1001 54488.548   6.427 0.013 279 ASPer
8 1001 54488.548   6.269 0.017 279 ASPer
6 1001 54489.570   6.871 0.014 279 ASPer
7 1001 54489.570   6.411 0.013 279 ASPer
8 1001 54489.570   6.214 0.017 279 ASPer
6 1001 54515.800   6.987 0.014 279 ASPer
7 1001 54515.800   6.444 0.013 279 ASPer
8 1001 54515.800   6.233 0.017 279 ASPer
6 1001 54516.581   7.047 0.014 279 ASPer
7 1001 54516.581   6.527 0.013 279 ASPer
8 1001 54516.581   6.358 0.017 279 ASPer
6 1001 54520.680   6.978 0.014 279 ASPer
7 1001 54520.680   6.454 0.013 279 ASPer
8 1001 54520.680   6.241 0.017 279 ASPer
6 1001 54529.582   6.876 0.014 279 ASPer
7 1001 54529.582   6.413 0.013 279 ASPer
8 1001 54529.582   6.218 0.017 279 ASPer
6 1001 54725.012   7.003 0.014 279 ASPer
7 1001 54725.012   6.479 0.013 279 ASPer
8 1001 54725.012   6.282 0.017 279 ASPer
6 1001 54725.884   7.127 0.014 279 ASPer
