AY SGR    2454643.789 0.04  6.987 0.015  6.488 0.013  6.296 0.016 0
AY SGR    2454660.753 0.63  7.230 0.015  6.553 0.013  6.333 0.016 0
AY SGR    2454661.785 0.78  7.317 0.015  6.680 0.013  6.476 0.017 0
AY SGR    2454667.758 0.69  7.225 0.015  6.573 0.013  6.402 0.017 0
AY SGR    2454725.617 0.50  7.123 0.015  6.488 0.013  6.274 0.016 0
AY SGR    2454726.593 0.65  7.228 0.015  6.571 0.013  6.304 0.016 0
AY SGR    2454735.568 0.01  7.009 0.015  6.466 0.013  6.276 0.016 0
AY SGR    2454737.569 0.32  7.043 0.015  6.434 0.013  6.217 0.016 0
AY SGR    2454740.568 0.78  7.303 0.015  6.634 0.013  6.420 0.017 0
AY SGR    2454747.546 0.84  7.307 0.015  6.655 0.013  6.413 0.017 0
AY SGR    2454753.542 0.75  7.312 0.015  6.630 0.013  6.405 0.017 0
AY SGR    2454756.552 0.21  6.998 0.015  6.446 0.013  6.270 0.016 0
AY SGR    2454757.534 0.36  7.052 0.015  6.434 0.013  6.207 0.016 0
AY SGR    2454762.534 0.12  7.009 0.015  6.486 0.013  6.281 0.016 0
AY SGR    2454763.528 0.27  7.041 0.015  6.461 0.013  6.238 0.016 0
AY SGR    2454766.525 0.73  7.309 0.015  6.647 0.013  6.330 0.016 0
BE MON    2454488.763 0.31  8.218 0.015  7.779 0.014  7.674 0.021 0
BE MON    2454489.860 0.72  8.310 0.015  7.863 0.014  7.821 0.021 0
BE MON    2454512.784 0.19  8.188 0.015  7.800 0.014  7.664 0.021 0
BE MON    2454516.780 0.67  8.365 0.015  7.890 0.014  7.693 0.021 0
BE MON    2454520.764 0.14  8.184 0.015  7.800 0.014  7.672 0.021 0
BE MON    2454523.777 0.26  8.247 0.015  7.821 0.014  7.704 0.021 0
BE MON    2454544.721 1.00  8.213 0.015  7.835 0.014  7.778 0.021 0
BE MON    2454560.668 0.89  8.346 0.015  7.916 0.014  7.778 0.021 0
BE MON    2454574.652 0.06  8.165 0.015  7.788 0.014  7.671 0.021 0
BE MON    2454575.641 0.42  8.263 0.015  7.784 0.014  7.640 0.021 0
BE MON    2454732.993 0.58  8.297 0.015  7.839 0.014  7.722 0.021 0
BE MON    2454737.973 0.42  8.236 0.015  7.794 0.014  7.471 0.020 4
BE MON    2454738.996 0.80  8.381 0.015  7.923 0.014  7.783 0.021 0
BE MON    2454746.968 0.75  8.358 0.015  7.895 0.014  7.789 0.021 0
BE MON    2454756.964 0.44  8.267 0.015  7.839 0.014  7.712 0.021 0
BE MON    2454762.831 0.61  8.309 0.015  7.881 0.014  7.742 0.021 0
BE MON    2454767.021 0.16  8.196 0.015  7.802 0.014  7.616 0.021 0
BE MON    2454767.987 0.52  8.267 0.015  7.827 0.014  7.675 0.021 0
BE MON    2454768.922 0.86  8.355 0.015  7.936 0.014  7.805 0.021 0
BG LAC    2454482.570 0.83  7.128 0.014  6.752 0.013  6.579 0.018 0
BG LAC    2454560.944 0.53  7.073 0.014  6.638 0.013  6.504 0.018 0
BG LAC    2454578.898 0.90  7.054 0.014  6.704 0.013  6.539 0.018 0
BG LAC    2454629.890 0.46  7.026 0.014  6.612 0.013  6.522 0.018 0
