BB HER    18 45 54.1 +12 20 10  10.46  9.76  DCEP       7.507945
V LAC     22 48 38.0 +56 19 18   9.42  8.38  DCEP       4.983458
X LAC     22 49 03.2 +56 25 42   8.64  8.20  DCEPS      5.444990
Y LAC     22 09 02.9 +51 02 45   9.50  8.76  DCEP       4.323776
Z LAC     22 40 52.1 +56 49 46   8.93  7.88  DCEP      10.885613
RR LAC    22 41 26.5 +56 25 58   9.30  8.38  DCEP       6.416243
BG LAC    22 00 25.1 +43 26 43   9.18  8.51  DCEP       5.331908
DF LAC    22 21 16.9 +54 31 56  12.20 11.53  DCEP       4.47925
FQ LAC    22 54 37.7 +54 15 56  15.4  13.5   CEP:      11.2664
IT LAC    22 09 18.6 +51 24 20  16.1  15.1   DCEP       2.631567
FW LUP    15 22 25.4 -40 55 36   9.22  8.82  RR         0.4841712
GH LUP    15 24 38.3 -52 51 14   7.83  7.55  CEP        9.285
V473 LYR  19 15 59.5 +27 55 35   6.35  5.99  DCEPS:     1.49078
RR MIC    21 15 49.3 -43 11 40  11.86 11.01  CWA       31.52
T MON     06 25 13.0 +07 05 09   6.62  5.58  DCEP      27.024649
SV MON    06 21 26.3 +06 28 13   8.88  7.61  DCEP      15.232780
SZ MON    06 51 27.8 -01 22 16  10.75  9.66  RVA       32.685
TW MON    06 50 32.3 +00 00 24  14.4  13.6   CEP        7.0969
TX MON    06 50 52.3 -01 25 45  11.36 10.67  DCEP       8.701731
TY MON    06 56 39.8 +00 11 23  13.4  12.5   DCEP       4.0226946
TZ MON    06 58 00.9 -00 22 35  11.18 10.43  DCEP       7.42818
UY MON    06 58 50.3 +09 37 22   9.62  9.22  DCEPS      2.39813
VZ MON    06 31 14.5 +11 51 01  15.2  14.3   DCEP       5.0834
WW MON    06 33 37.2 +09 12 13  12.92 11.97  DCEP       4.66231
XX MON    06 52 12.2 -02 48 25  12.25 11.44  DCEP       5.456473
YY MON    06 54 11.4 -07 39 52  14.13 13.19  DCEP       3.45470
AA MON    06 57 23.7 -03 50 36  15.0  13.7   DCEP       3.938164
AC MON    07 00 59.8 -08 42 32  10.47  9.75  DCEP       8.01425
BE MON    06 40 05.6 +07 36 21  10.88 10.19  DCEP       2.705510
BV MON    06 56 51.1 +04 30 58  13.33 12.07  DCEP       3.0143
CS MON    06 32 10.9 +06 39 11  11.30 10.71  CEP        6.7317
CU MON    06 32 46.7 +00 02 35  13.95 13.20  DCEP       4.707873
CV MON    06 37 04.8 +03 03 50  10.70  9.90  DCEP       5.378898
EE MON    06 50 48.6 -07 58 50  14.4  13.1   DCEP       4.80896
EK MON    06 52 46.2 -02 27 30  11.42 10.77  DCEP       3.957941
FG MON    07 07 08.5 -07 47 42  14.8  13.5   DCEP       4.49659
FI MON    07 10 38.0 -07 07 22  14.4  13.1   DCEP       3.287822
FT MON    06 21 36.1 +04 04 25  13.13 12.03  DCEP       4.834225
V446 MON  06 43 17.4 +01 09 39  16.2  14.7   CEP        1.919459
V447 MON  06 44 16.0 +04 29 54  15.9  14.7   CEP        2.4838
